step	train/loss
0	0.0429457965060177
1	0.029762706720930898
2	0.02516546040518671
3	0.024622795164075673
4	0.02443388185949407
5	0.024194377940944117
6	0.023962945077154373
7	0.024016591728243053
8	0.023897728553185095
9	0.02396816249586578
10	0.02390773586737804
11	0.023932330781578
12	0.023817965795851163
13	0.02377087792270204
14	0.023814604908992083
15	0.023838669545630103
16	0.023774534438410377
17	0.023750705724088553
18	0.02369567970944266
19	0.02373079502174997
20	0.023688613909941453
21	0.023722099493711422
22	0.023744097122779258
23	0.023711474863891926
